StudyDescription	Modality	platform	frequency
e-1	PT, nan	IDC,TCIA	2
MRI PELVIS WO CONT	MR, nan	IDC,TCIA	2
MRI PELVIS WO/W	MR, nan	IDC,TCIA	2
Abdomen^02 Chest-Abd 1	CT, nan	IDC,TCIA	2
MRI PELVIS WW CON	SEG	IDC	2
e+1 lung biopsy	CT, nan	IDC,TCIA	2
e+1 lung	SEG, nan	IDC,TCIA	2
Abdomen^01_LARGE_WB_PETCT	SEG, nan	IDC,TCIA	2
e+1 PET/CT LUNG NODULE	CT, nan	IDC,TCIA	2
MRI PERIANAL FISTULA WO/W CONTRAST	MR	MIDRC	2
Abdomen^01_Abdomen_Pelvis (Adult)	CT, nan	IDC,TCIA	2
Abdomen^01_AbdNative_and_Contrast (Adult)	SEG, nan	IDC,TCIA	2
MRI PROSTATE WITH + WITHOUT IV CONTRAST	MR	ACRdart	2
Abdomen^01_ABDOMENBIOPSY (Adult)	CT, nan	IDC,TCIA	2
lung+ccc	SEG, nan	IDC,TCIA	2
1V1C-1	SR, nan	IDC,TCIA	2
Abdomen^12_9_Liver_HCC_Triphase (Adult)	SEG, nan	IDC,TCIA	2
*CT CHEST	CT, nan	IDC,TCIA	2
Abdomen^CTA_ILLIOFEMORAL_RUN_OFF (Adult)	CT	MIDRC	2
Abdomen^CTA_ABD_PELVIS_ (Adult)	CT	MIDRC	2
Abdomen^BRZUCH_MIEDNICA (Adult)	RTSTRUCT, nan	IDC,TCIA	2
Abdomen^BRZUCH_BOLUS_FAZA_TRZUSTKA (Adult)	RTSTRUCT, nan	IDC,TCIA	2
Abdomen^BRZUCH_BOLUS (Adult)	RTSTRUCT, nan	IDC,TCIA	2
MRI BREAST BILATERAL W & W/O	SEG, nan	IDC,TCIA	2
MRI BREAST BILATERAL W & WO	MR, nan	IDC,TCIA	2
Abdomen^AVERAGE_ABD_PELVIS_WITHOUT_IV_CONTRAST (Adult)	nan	TCIA	2
Abdomen^ACRIN_COLON_12 (Adult)	CT, nan	IDC,TCIA	2
testCTACw75ccContrast	CT, nan	IDC,TCIA	2
MRI BREAST BILATERAL W/ & WO	SEG, nan	IDC,TCIA	2
Abdomen^ACRIN COLON (Adult)	CT, nan	IDC,TCIA	2
Abdomen^ABD_WO_W (Adult)	SEG, nan	IDC,TCIA	2
testCTACw35ccContrast	PT, nan	IDC,TCIA	2
Abdomen^ABD_TRIPHASIC_KIDNEYS (Adult)	CT, nan	IDC,TCIA	2
MRI BREAST BILAT W-WO	SEG, nan	IDC,TCIA	2
MRI BREAST BILAT PRE&POMR	MR	IDC	2
MRI BREAST BIOPSY UNILATERAL WITH CONTRAST	MR, nan	IDC,TCIA	2
two_phase__chest_abdomen	SEG, nan	IDC,TCIA	2
Abdomen^ENTEROGRAPHY_GR (Adult)	CT	MIDRC	2
Abdomen^ENTEROGRAPHY (Adult)	CT	MIDRC	2
MRI BR BI W/INJ/MBBI	MR	IDC	2
Abdomen^DUAL_PHASE_PANC (Adult)	RTSTRUCT, nan	IDC,TCIA	2
MRI BR UNILAT W&WO CONT LEFT	MR, SEG	IDC	2
MRI BRAIN	MR, nan	IDC,TCIA	2
two_phase__chest_abdomen_pelvis	SEG, nan	IDC,TCIA	2
Abdomen^Chest-Abd-Pelvis 1	CT, nan	IDC,TCIA	2
MRI BRAIN, MRA BRAIN, MRA NECK - WITHOUT AND WITH CONTRAST	MR	MIDRC	2
Abdomen^CYSTOGRAM (Adult)	CT	MIDRC	2
Abdomen^CT_MARKS_CAILLAT_AP (Adult)	CT	MIDRC	2
Abdomen^CT_CHST_ABD_PELVIS_WO_W_IVCON (Adult)	SEG, nan	IDC,TCIA	2
MRI BREAST BIL ABBREVIATED W WO CONTRAST WO CAD	MR	IDC	2
MRI BREAST BIL WO W CONTRAST	MR, nan	IDC,TCIA	2
MRI BREAST BIL WO/W CON	MR, nan	IDC,TCIA	2
MRI BREAST BIOPSY RIGHT  1ST LESION	MR	ACRdart,IDC	2
MRI BREAST BIOPSY UNILATERAL WITH WITHOUT CONTRAST	MR, nan	IDC,TCIA	2
Abdomen^12_DE_ABD_N_CE_(Adult)	CT, nan	IDC,TCIA	2
MRI BREAST, BILATERAL WITHOUT CONTRAST	MR, nan	IDC,TCIA	2
pe/6516	MR, nan	IDC,TCIA	2
MRI BREAST, UNILATERAL, WITH WITHOUT CONTRAST	MR	IDC	2
1V1A-1	SR, nan	IDC,TCIA	2
1V1A-2	SR, nan	IDC,TCIA	2
Abdomen^1VIRT_COLON_SUPINE (Adult)	CT, nan	IDC,TCIA	2
Abdomen^1VIRT_COLON (Adult)	CT, nan	IDC,TCIA	2
MRI Brain	MR, nan	IDC,TCIA	2
MRI Breast Bilat W WO IV Contrast	MR	ACRdart	2
MRI Breast Bilateral	SEG, nan	IDC,TCIA	2
Abdomen^1CA_AP_WC (Adult)	CT, nan	IDC,TCIA	2
MRI Breast Bilateral without Contrast	MR, nan	IDC,TCIA	2
1V1B-1	SR, nan	IDC,TCIA	2
MRI Breast Biopsy	MR, nan	IDC,TCIA	2
1V1B-2	SR, nan	IDC,TCIA	2
MRI Breast w  wo Contrast Bilateral	MR	ACRdart,IDC	2
pelvis^Pelvis (Y)	MR, nan	IDC,TCIA	2
Abdomen^1_ABDOMEN_PELVIS_WITH (Adult)	CT, nan	IDC,TCIA	2
MRI BREAST BX VAC CLIP 2 LSN RT WPPM SI	MR, nan	IDC,TCIA	2
Abdomen^1_ABD_BMI_UNDER_30 (Adult)	RTSTRUCT, nan	IDC,TCIA	2
MRI BREAST CORE BIOPSY	MR, nan	IDC,TCIA	2
test CTAC radial trunc	PT, nan	IDC,TCIA	2
Abdomen^ABDOME_4_FASES (Adult)	CT, nan	IDC,TCIA	2
Abdomen^ABDOMEN_PELVIS_WO_WC (Adult)	CT, nan	IDC,TCIA	2
Abdomen^ABDOMEN_4D (Adult)	CT, nan	IDC,TCIA	2
post	PT, nan	IDC,TCIA	2
06.Chest, Abdomen contrast	SEG, nan	IDC,TCIA	2
Abdomen^23 COLON PRONE	CT, nan	IDC,TCIA	2
MRI BREAST UNILA	MR, nan	IDC,TCIA	2
MRI BREAST UNILATERAL W/WO	SEG, nan	IDC,TCIA	2
MRI BREAST UNILATERAL WITH WITHOUT CONTRAST	nan	TCIA	2
penqct	CT, nan	IDC,TCIA	2
Abdomen^1_RENAL_WITH_IV (Adult)	CT, nan	IDC,TCIA	2
pelvis_0001^MALYI TAZ	MR, nan	IDC,TCIA	2
MRI BREAST W/WO + SUB + RECON	MR, nan	IDC,TCIA	2
MRI SPINAL CANAL, LUMBAR WITHOUT CONTRAST	MR, nan	IDC,TCIA	2
e+1 MR BREAST BILAT W AND W/O CONT-DR	SEG, nan	IDC,TCIA	2
e+1 LEFT BREAST	MR, nan	IDC,TCIA	2
OSF CT CHEST	CT, nan	IDC,TCIA	2
OSI CT CHEST	SEG, nan	IDC,TCIA	2
1V2C-2	SR, nan	IDC,TCIA	2
ch.3d ao.cta	SEG, nan	IDC,TCIA	2
ABDOMEN   PELVIS WITH CONTRAST	CT, nan	IDC,TCIA	2
ABDOMEN   PELVIS W/O CONTRAST	CT, nan	IDC,TCIA	2
OUTSIDE FILM CONSULTATION MAM	CR, nan	IDC,TCIA	2
OVARIAN CA RESTAGING	CT, nan	IDC,TCIA	2
OVARY CA,FATIGUE ?MASS	CT, nan	IDC,TCIA	2
ABDOMEN   PELVIS W/CON	CT, nan	IDC,TCIA	2
ABD/RENAL	SEG, nan	IDC,TCIA	2
ch.3d	CT, nan	IDC,TCIA	2
1V2D-1	SR, nan	IDC,TCIA	2
Outside Read or Comparison BREAST MRI	MR, nan	IDC,TCIA	2
ABD/PELVIS/ RENAL	SEG, nan	IDC,TCIA	2
ABD/PELVIS/  LIVER	SEG, nan	IDC,TCIA	2
OSI CT BRAIN	SEG, nan	IDC,TCIA	2
OSF CT C/A/P	CT, nan	IDC,TCIA	2
1V2E-1	SR, nan	IDC,TCIA	2
chest.3d	CT, nan	IDC,TCIA	2
NSCLC INIT STG	SEG, nan	IDC,TCIA	2
NSCLC LUNG RESTAGING	SEG, nan	IDC,TCIA	2
NSCLC RESTAGING	SEG, nan	IDC,TCIA	2
chest_abdomen_pelvis__w_and_wo	SEG, nan	IDC,TCIA	2
NSCLC RESTG	SEG, nan	IDC,TCIA	2
1V2B-2	SR, nan	IDC,TCIA	2
NUC MED LUNG VENTILATION + PERFUSION	NM	MIDRC	2
Needle Loc Mammo Guidance 1st Right PRIM	MG	ACRdart,IDC	2
No study description	SEG, nan	IDC,TCIA	2
1V2C-1	SR, nan	IDC,TCIA	2
ORTHO CHUS^OS LONGS	MR, nan	IDC,TCIA	2
ORTHO THORAX	MR, nan	IDC,TCIA	2
chest/abd with	CT, nan	IDC,TCIA	2
ABDOMEN +/-CONT	MR, nan	IDC,TCIA	2
ABDOMEN (CT)-BODY	SEG, nan	IDC,TCIA	2
1V2D-2	SR, nan	IDC,TCIA	2
P/P A/P	SEG, nan	IDC,TCIA	2
ABDOMEN KIDNEY CHEST PELVIS WITH(Adult)	CT	MIDRC	2
PELVIS SBRT	CT, nan	IDC,TCIA	2
PELVIS W/O CONTRAST	CT, nan	IDC,TCIA	2
PELVIS.1:PELVIS:Private^WBHPELVIS (Adult)	CT, nan	IDC,TCIA	2
ABD. AND PELVIS	CT, nan	IDC,TCIA	2
breast^lesion evaluation	SEG, nan	IDC,TCIA	2
PENGQIANG	CT, nan	IDC,TCIA	2
ABD RENAL W/WO	SEG, nan	IDC,TCIA	2
1V2F-2	SR, nan	IDC,TCIA	2
PET / CT F-18 FDG TUMOR SKULL BASE TO MID-THIGH	SEG, nan	IDC,TCIA	2
breast research	MR, nan	IDC,TCIA	2
ABD RENAL STONE	CT, nan	IDC,TCIA	2
PET BREAST CANCER (W/L	PT,CT	MIDRC	2
6V1F-2	SR, nan	IDC,TCIA	2
ABD PEL LIVER	SEG, nan	IDC,TCIA	2
PET COLON OR RECTAL CA	PT,CT	MIDRC	2
PET COLON OR RECTAL CANCER (W/LOW DOSE CT)	PT,CT	MIDRC	2
1V2E-2	SR, nan	IDC,TCIA	2
PELVIS RECTUM	CT, nan	IDC,TCIA	2
P/P A/P W/RENAL PROTO.	SEG, nan	IDC,TCIA	2
PELVIS FULLL	CT, nan	IDC,TCIA	2
c+c	SEG, nan	IDC,TCIA	2
P/P A/P, W/RENAL PROTO	SEG, nan	IDC,TCIA	2
P/P C/A	SEG, nan	IDC,TCIA	2
P/P C/A/P W/LIVER PRO	SEG, nan	IDC,TCIA	2
P/P C/A/P,LIVER PROTO.	SEG, nan	IDC,TCIA	2
ABD/PELVIS W/W/O	CT, nan	IDC,TCIA	2
PC TX AS	CT, nan	IDC,TCIA	2
ABD/PELVIS ANGIO/VENO	CT, nan	IDC,TCIA	2
PE CHEST WITH	SEG, nan	IDC,TCIA	2
c t ap	CT, nan	IDC,TCIA	2
PELVE	MR, nan	IDC,TCIA	2
ABD/PEL W/C	SEG, nan	IDC,TCIA	2
ABD/PEL LIVER PROTOCOL	SEG, nan	IDC,TCIA	2
ABD/PEL  LIVER	CT, nan	IDC,TCIA	2
PELVIS FULL BLADDER	CT, nan	IDC,TCIA	2
NSCLC	PT, nan	IDC,TCIA	2
NSC LUNG RESTG	SEG, nan	IDC,TCIA	2
ANKLE LEFT 3 VIEWS (WEIGHT BEARING)	CR, DX	MIDRC	2
ACWOWC ANGIO CHEST WO/WC	CT	MIDRC	2
e+1 FDG 6AFOV TORSO	SEG, nan	IDC,TCIA	2
ACRIN6667 CONTRA-LAT.	MR, nan	IDC,TCIA	2
MRI_L_Shoulder	MR, nan	IDC,TCIA	2
ACRIN CT COLONGRAPHY	CT, nan	IDC,TCIA	2
ACRIN COLON	CT, nan	IDC,TCIA	2
e+1 F/U	CT, nan	IDC,TCIA	2
e+1 CT LUNG SCREEN	CT, nan	IDC,TCIA	2
e+1 CT Chest W/ Non Ionic	CT, nan	IDC,TCIA	2
e+1 CT CHEST WO CONTRAST	CT	MIDRC	2
MRM  6667	MR, nan	IDC,TCIA	2
e+1 BREAST W/WO	MR, nan	IDC,TCIA	2
ACRIN 6668 PET	SEG, nan	IDC,TCIA	2
e+1 BILAT/ATTN LEFT	MR, nan	IDC,TCIA	2
1V1E-2	SR, nan	IDC,TCIA	2
ACRIN 6667 CONTRA. BRE	MR, nan	IDC,TCIA	2
ACRIN6667CONTRALAT. BR	MR, nan	IDC,TCIA	2
MRI-UNLISTED AREA	MR, nan	IDC,TCIA	2
MRM/DYN	MR, nan	IDC,TCIA	2
MRI-RT THIGH	RTSTRUCT, nan	IDC,TCIA	2
MRI THIGH C+ LEFT	MR, nan	IDC,TCIA	2
MRI THIGH C+ RIGHT	RTSTRUCT, nan	IDC,TCIA	2
e+1 HANCHE GAUCHE C+	RTSTRUCT, nan	IDC,TCIA	2
MRI THORACIC W/WO CONTRAST	MR, nan	IDC,TCIA	2
MRI W/O CONT UNIBR	MR, nan	IDC,TCIA	2
MRI W/WO CONT BI	MR, nan	IDC,TCIA	2
MRI, BRAIN W&W/O CONTR	MR, nan	IDC,TCIA	2
MRI, BRAIN W&W/O CONTRAST	MR, nan	IDC,TCIA	2
MRI,BRAIN W&W/O	MR, nan	IDC,TCIA	2
MRI-EXTREMITIES	MR, nan	IDC,TCIA	2
MRI-LT LEG	MR, nan	IDC,TCIA	2
ANGIO - CHEST (PE STUDY)	CT	MIDRC	2
MRI-Pelvis	MR, nan	IDC,TCIA	2
MRI-RT BUTTOCK	MR, nan	IDC,TCIA	2
MRI-RT LEG	RTSTRUCT, nan	IDC,TCIA	2
e+1 A/P	CT, nan	IDC,TCIA	2
MR_BREAST-LT STUDY PT	MR, nan	IDC,TCIA	2
ABDOMEN LIVER PROTOCOL	SEG, nan	IDC,TCIA	2
ABDOMEN^1 ACRIN PRONE COLONOGRAPHY	CT, nan	IDC,TCIA	2
ABDOMEN/PELVIS CT	CT, nan	IDC,TCIA	2
1V2A-1	SR, nan	IDC,TCIA	2
NM Chest	DX, nan	IDC,TCIA	2
ct a/p w/wo	SEG, nan	IDC,TCIA	2
ABDOMEN, AP (KUB)	CR, nan	IDC,TCIA	2
NM PET 18 FDG  SKULL T	PT, nan	IDC,TCIA	2
ABDOMEN+C	RTSTRUCT, nan	IDC,TCIA	2
contrabreast (LEFT)	MR, nan	IDC,TCIA	2
NM PET STOT LUNG CA RESTG	SEG, nan	IDC,TCIA	2
NM PETCT 18FDG BASE OF SKULL TO THIGHS	CT, nan	IDC,TCIA	2
ABDOMEN SERIES INCL CHEST-CS	CR	MIDRC	2
1V2A-2	SR, nan	IDC,TCIA	2
NM_Bone_WB	NM, nan	IDC,TCIA	2
NM_Chest	NM, nan	IDC,TCIA	2
1V2B-1	SR, nan	IDC,TCIA	2
1V1F-2	SR, nan	IDC,TCIA	2
Multiple Line Source Background	PT, nan	IDC,TCIA	2
ABDPEL C	CT, nan	IDC,TCIA	2
ct chest with contrast,	CT, nan	IDC,TCIA	2
MR_BREAST-lT	MR, nan	IDC,TCIA	2
MR_CSpine	MR, nan	IDC,TCIA	2
MR_LT BR	MR, nan	IDC,TCIA	2
MR_LT BREAST-STUDY PT	MR, nan	IDC,TCIA	2
MR_RT BREAST	MR, nan	IDC,TCIA	2
MS4183/GAD   Abdomen w & w/o	MR, nan	IDC,TCIA	2
MSKT organov grudnoy k	CT, nan	IDC,TCIA	2
e+1	CT, nan	IDC,TCIA	2
MSK^HIP	RTSTRUCT, nan	IDC,TCIA	2
ct thorax with contrast	CT, nan	IDC,TCIA	2
MW CT ,ABD W CONT, 74160	SEG, nan	IDC,TCIA	2
ABDOMINAL CT W/ + W/O CONTRAST	CT, nan	IDC,TCIA	2
ABDOMEN^UPPER	RTSTRUCT, nan	IDC,TCIA	2
ABDOMEN^METRO MRI	SEG, nan	IDC,TCIA	2
ct head w/wo contrast	CT, nan	IDC,TCIA	2
SCAN THORAX C+ -THO	SEG, nan	IDC,TCIA	2
6V1D-2	SR, nan	IDC,TCIA	2
_t5of9MRI IAMS	MR, nan	IDC,TCIA	2
3V4A-1	SR, nan	IDC,TCIA	2
US_Biopsy_Liver	XA, nan	IDC,TCIA	2
US_CT_Abdomen	CT, nan	IDC,TCIA	2
US_Chest	US, nan	IDC,TCIA	2
US_biopsyliver	US, nan	IDC,TCIA	2
2V1A-2	SR, nan	IDC,TCIA	2
3V4A-2	SR, nan	IDC,TCIA	2
_t1of9MRI Head	MR, nan	IDC,TCIA	2
3V3F-2	SR, nan	IDC,TCIA	2
3V2C-1	SR, nan	IDC,TCIA	2
Unspecified CT ABDOMEN	CT, nan	IDC,TCIA	2
3V3E-2	SR, nan	IDC,TCIA	2
Unspecified MG BREAST	MG	ACRdart	2
3V3E-1	SR, nan	IDC,TCIA	2
3V3D-2	SR, nan	IDC,TCIA	2
VIRTUAL  RECTUM	CT, nan	IDC,TCIA	2
2V1B-1	SR, nan	IDC,TCIA	2
3V4B-1	SR, nan	IDC,TCIA	2
3V4B-2	SR, nan	IDC,TCIA	2
US UPPER EXTREMITY VENOUS DUPLEX LTD - RIGHT	US	MIDRC	2
2V1A-1	SR, nan	IDC,TCIA	2
US Abdomen Complete	US, nan	IDC,TCIA	2
US BREAST CORE BX	US	ACRdart	2
US Biopsy Axilla	US, nan	IDC,TCIA	2
3V4E-1	SR, nan	IDC,TCIA	2
US Biopsy LymphNode	US, nan	IDC,TCIA	2
US Breast Bilateral	US	ACRdart	2
US Breast Right	US	ACRdart	2
US DOPPLER LOWER EXTREMITY VENOUS, BILATERAL (S)	US	MIDRC	2
US Echocardiogram	US, nan	IDC,TCIA	2
3V4D-2	SR, nan	IDC,TCIA	2
US KIDNEY TRANSPLANT	US	MIDRC	2
3V4D-1	SR, nan	IDC,TCIA	2
2AFOV PELVIS POST CATH	PT, nan	IDC,TCIA	2
3V4C-2	SR, nan	IDC,TCIA	2
3V4C-1	SR, nan	IDC,TCIA	2
VIRTUAL ABDOMEN/PELVIS	CT, nan	IDC,TCIA	2
_t1of8_MRI External Films	MR, nan	IDC,TCIA	2
VIRTUAL GYN PELVIS FULL BLADDER	CT, nan	IDC,TCIA	2
3V3A-1	SR, nan	IDC,TCIA	2
Vascular^FL_CTPA (Adult)	CT	MIDRC	2
Vascular^GATED_CHEST_CTA (Adult)	CT, nan	IDC,TCIA	2
3V2E-2	SR, nan	IDC,TCIA	2
Vascular^PEAngio(Adiult) (Adult)	CT, nan	IDC,TCIA	2
3V2E-1	SR, nan	IDC,TCIA	2
_t1of7External Images for PACS	MR, nan	IDC,TCIA	2
Vascular^PULMONARY_VEIN_STUDY (Adult)	CT	MIDRC	2
_t1of7  MRI Head	MR, nan	IDC,TCIA	2
2V1C-2	SR, nan	IDC,TCIA	2
Vascular^RUNOFF_CTA (Adult)	CT	MIDRC	2
Vascular^THORACIC_ANEURYSM_CTA (Adult)	CT	MIDRC	2
3V2D-2	SR, nan	IDC,TCIA	2
WB	SEG, nan	IDC,TCIA	2
3V2D-1	SR, nan	IDC,TCIA	2
WB PET & LUNG DELAYS	SEG, nan	IDC,TCIA	2
3V2F-2	SR, nan	IDC,TCIA	2
3V3A-2	SR, nan	IDC,TCIA	2
VIRTUAL PELVIS	CT, nan	IDC,TCIA	2
_t1of7_MRI External Films	MR, nan	IDC,TCIA	2
VIRTUAL PELVIS  FULL BLADDER	CT, nan	IDC,TCIA	2
VIRTUAL PELVIS FULL BLADDER	CT, nan	IDC,TCIA	2
Vascular^01_0_Abdominal_Aorta_CTA_Pre_Post_Stent (Adult)	CT, nan	IDC,TCIA	2
3V3D-1	SR, nan	IDC,TCIA	2
Vascular^06CTA_Abd_(Post-stent) (Adult)	CT, nan	IDC,TCIA	2
3V3C-2	SR, nan	IDC,TCIA	2
Vascular^CH03A_CHST_W_PE (Adult)	CT	MIDRC	2
3V3C-1	SR, nan	IDC,TCIA	2
_t1of8_MR IAMs	nan	TCIA	2
_t1of8_MR IAM's	MR	IDC	2
3V3B-2	SR, nan	IDC,TCIA	2
Vascular^CTA_MESSENTERIC (Adult)	CT	MIDRC	2
2V1B-2	SR, nan	IDC,TCIA	2
2V1C-1	SR, nan	IDC,TCIA	2
3V3B-1	SR, nan	IDC,TCIA	2
_t2of3  MRI HEAD	MR, nan	IDC,TCIA	2
US ABDOMEN COMPLETE=AB	US, nan	IDC,TCIA	2
3V4E-2	SR, nan	IDC,TCIA	2
Thorax^PE_ROUTINE (Adult)	CT, nan	IDC,TCIA	2
1V6E-2	SR, nan	IDC,TCIA	2
Thorax^ROUTINE_CHEST_5MM (Adult)	CT, nan	IDC,TCIA	2
4V1C-1	SR, nan	IDC,TCIA	2
_t2of3MRI IAMS post Gad	MR, nan	IDC,TCIA	2
4V1B-2	SR, nan	IDC,TCIA	2
4V1B-1	SR, nan	IDC,TCIA	2
4V1A-2	SR, nan	IDC,TCIA	2
4V1A-1	SR, nan	IDC,TCIA	2
4D CT THORAX	RTSTRUCT, CT	IDC	2
Thorax^RoutineChest (Adult)	CT, nan	IDC,TCIA	2
_t2of3MRI Head	MR, nan	IDC,TCIA	2
Thorax^THORACIC_DISSECTION (Adult)	CT	MIDRC	2
Thorax^TRAUMA_CHEST_ABD_PEL (Adult)	CT	MIDRC	2
1V6F-2	SR, nan	IDC,TCIA	2
3V6F-2	SR, nan	IDC,TCIA	2
4V1C-2	SR, nan	IDC,TCIA	2
Thorax^PE_CHEST (Adult)	CT, nan	IDC,TCIA	2
Thorax^VERAN_MEDIUM (Adult)	CT	MIDRC	2
4V1D-1	SR, nan	IDC,TCIA	2
4V2C-2	SR, nan	IDC,TCIA	2
Thorax^LOW_DOSE_NON_CONCHEST (Adult)	CT, nan	IDC,TCIA	2
4V2C-1	SR, nan	IDC,TCIA	2
4V2B-2	SR, nan	IDC,TCIA	2
4V2B-1	SR, nan	IDC,TCIA	2
4V2A-2	SR, nan	IDC,TCIA	2
4V2A-1	SR, nan	IDC,TCIA	2
_t2of7  MRI IAMS	MR, nan	IDC,TCIA	2
_t2of5  External Images for PACS	MR, nan	IDC,TCIA	2
4V1F-2	SR, nan	IDC,TCIA	2
4V1E-2	SR, nan	IDC,TCIA	2
4V1E-1	SR, nan	IDC,TCIA	2
4V1D-2	SR, nan	IDC,TCIA	2
_t2of4External Images for PACS	MR, nan	IDC,TCIA	2
1V6E-1	SR, nan	IDC,TCIA	2
3V6E-2	SR, nan	IDC,TCIA	2
3V6E-1	SR, nan	IDC,TCIA	2
UROGRAPHY STUDY	CT, nan	IDC,TCIA	2
Tomografia komputerowa jamy brzusznej z kontrastem	RTSTRUCT, nan	IDC,TCIA	2
3V5D-1	SR, nan	IDC,TCIA	2
Tomoscintigrafia PET total body TOMOSCINTIGRAFIA TOTAL BODY-Tomo	SEG, nan	IDC,TCIA	2
3V5C-2	SR, nan	IDC,TCIA	2
Trio RoutineImage Guidance	RTSTRUCT, nan	IDC,TCIA	2
3V5C-1	SR, nan	IDC,TCIA	2
3V5B-2	SR, nan	IDC,TCIA	2
2-FOV uniform.test	PT, nan	IDC,TCIA	2
ULTRASOUND/ASPIRATION EXAM	US	ACRdart	2
3V5B-1	SR, nan	IDC,TCIA	2
UNILAT BREAST US	US	ACRdart	2
3V5A-2	SR, nan	IDC,TCIA	2
3V5A-1	SR, nan	IDC,TCIA	2
UROGRAM	SEG, nan	IDC,TCIA	2
UROGRAM CT	CT, nan	IDC,TCIA	2
3V4F-2	SR, nan	IDC,TCIA	2
3V5D-2	SR, nan	IDC,TCIA	2
Tomografia klatki piersiowej - inne	CT, nan	IDC,TCIA	2
_t2of3 MRI IAMS	MR, nan	IDC,TCIA	2
3V5E-1	SR, nan	IDC,TCIA	2
Thorax^XL_CAP_WITH_Customized (Adult)	CT	MIDRC	2
3V6D-2	SR, nan	IDC,TCIA	2
3V6D-1	SR, nan	IDC,TCIA	2
3V6C-2	SR, nan	IDC,TCIA	2
3V6C-1	SR, nan	IDC,TCIA	2
_t2of3  MRI IAMS post Gad	MR, nan	IDC,TCIA	2
3V6B-2	SR, nan	IDC,TCIA	2
1_PETCT_cerv_WB_CAUDCRAN (Adult)	PT, nan	IDC,TCIA	2
3V6B-1	SR, nan	IDC,TCIA	2
Thorax^chest abd	CT, nan	IDC,TCIA	2
3V6A-2	SR, nan	IDC,TCIA	2
3V6A-1	SR, nan	IDC,TCIA	2
3V5F-2	SR, nan	IDC,TCIA	2
TomoHD Unilateral Left	MG	ACRdart,IDC	2
3V5E-2	SR, nan	IDC,TCIA	2
3V2C-2	SR, nan	IDC,TCIA	2
3V2B-2	SR, nan	IDC,TCIA	2
4V2D-2	SR, nan	IDC,TCIA	2
2V2E-2	SR, nan	IDC,TCIA	2
2V2E-1	SR, nan	IDC,TCIA	2
2V5E-1	SR, nan	IDC,TCIA	2
XT CHEST W/CONT	SEG, nan	IDC,TCIA	2
XR LUMBAR SPINE AND BEND 4+ VIEWS	DX	MIDRC	2
2V5D-2	SR, nan	IDC,TCIA	2
XR LUMBAR SPINE FLEXION AND EXTENSION ONLY	DX	MIDRC	2
2V5D-1	SR, nan	IDC,TCIA	2
XR_ThoracicSpine	DX, nan	IDC,TCIA	2
WB PET/CT W/DELAYS	SEG, nan	IDC,TCIA	2
XR PORT ABDOMEN 1V LINE PLCMNT - NO CHARGE	CR	MIDRC	2
XR PORT ABDOMEN SINGLE VIEW AP	CR	MIDRC	2
2V5C-2	SR, nan	IDC,TCIA	2
XR_RF AbdPelvis	DX, nan	IDC,TCIA	2
XR_LSpine	XA, nan	IDC,TCIA	2
2V5C-1	SR, nan	IDC,TCIA	2
2V5B-2	SR, nan	IDC,TCIA	2
2V5E-2	SR, nan	IDC,TCIA	2
XR LEFT TOES 2 VIEWS	CR, DX	MIDRC	2
XR LEFT TIBIA FIBULA 3+ VIEWS	DX	MIDRC	2
^THIGH	RTSTRUCT, nan	IDC,TCIA	2
2V6E-2	SR, nan	IDC,TCIA	2
2V6E-1	SR, nan	IDC,TCIA	2
2V2D-1	SR, nan	IDC,TCIA	2
2V6D-2	SR, nan	IDC,TCIA	2
XR LEFT HIP 1 VIEW	CR	MIDRC	2
2V6D-1	SR, nan	IDC,TCIA	2
2V6C-2	SR, nan	IDC,TCIA	2
2V6C-1	SR, nan	IDC,TCIA	2
2V6B-2	SR, nan	IDC,TCIA	2
2V2D-2	SR, nan	IDC,TCIA	2
2V6B-1	SR, nan	IDC,TCIA	2
2V6A-2	SR, nan	IDC,TCIA	2
_t10of10MRI IAMS	MR, nan	IDC,TCIA	2
2V6A-1	SR, nan	IDC,TCIA	2
2V5F-2	SR, nan	IDC,TCIA	2
2V5B-1	SR, nan	IDC,TCIA	2
2V5A-2	SR, nan	IDC,TCIA	2
2V5A-1	SR, nan	IDC,TCIA	2
2V3B-1	SR, nan	IDC,TCIA	2
2V3E-2	SR, nan	IDC,TCIA	2
2V3E-1	SR, nan	IDC,TCIA	2
XR RIGHT SHOULDER 1 VIEW	DX	MIDRC	2
2V3D-2	SR, nan	IDC,TCIA	2
2V3D-1	SR, nan	IDC,TCIA	2
2V3C-2	SR, nan	IDC,TCIA	2
2V3C-1	SR, nan	IDC,TCIA	2
XR SACROILIAC JOINTS 1-2 VIEWS	CR, DX	MIDRC	2
XR SACRUM AND COCCYX	DX	MIDRC	2
XR STERNUM PA AND LATERAL	DX	MIDRC	2
XR SHOULDER 2 OR MORE VIEW	DX	MIDRC	2
XR SHOULDER RT 1 VIEW	DX	MIDRC	2
XR SHOULDER RT 2 OR MORE VIEWS	DX	MIDRC	2
XR SPINE THORACIC (AP+LAT)	DX	MIDRC	2
XR SPINE LUMBAR (AP, LAT, FLEX/EX)	DX	MIDRC	2
2V3F-2	SR, nan	IDC,TCIA	2
2V4A-1	SR, nan	IDC,TCIA	2
2V4F-2	SR, nan	IDC,TCIA	2
